"Date","Price","Open","High","Low","Vol.","Change %"
"11/09/2023","24.200","26.800","27.000","24.200","13.18M","-9.70%"
"08/09/2023","26.800","26.720","27.400","26.480","4.17M","0.30%"
"07/09/2023","26.720","26.800","27.560","26.560","3.62M","-0.30%"
"06/09/2023","26.800","26.360","27.560","26.000","6.66M","1.67%"
"05/09/2023","26.360","28.200","28.600","26.040","10.17M","-6.52%"
"04/09/2023","28.200","29.320","29.320","27.640","14.20M","5.70%"
"01/09/2023","26.680","24.280","26.680","24.840","20.83M","9.88%"
"31/08/2023","24.280","25.200","27.320","22.720","33.92M","-3.80%"
"30/08/2023","25.240","30.840","30.840","25.240","73.10M","-9.99%"
"29/08/2023","28.040","28.040","28.040","28.040","4.55M","9.87%"
"28/08/2023","25.520","25.520","25.520","25.400","7.12M","10.00%"
"25/08/2023","23.200","21.200","23.200","21.200","19.18M","9.85%"
"24/08/2023","21.120","19.200","21.120","18.960","36.12M","10.00%"
"23/08/2023","19.200","17.920","19.640","17.280","36.18M","7.14%"
"22/08/2023","17.920","17.600","18.000","17.440","10.36M","2.28%"
"21/08/2023","17.520","16.720","17.680","16.720","9.21M","5.29%"
"18/08/2023","16.640","16.160","17.200","16.160","12.38M","3.74%"
"17/08/2023","16.040","16.000","16.120","16.000","8.57M","0.25%"
"16/08/2023","16.000","16.000","16.040","15.720","3.93M","0.00%"
"15/08/2023","16.000","16.000","16.560","15.640","9.12M","0.00%"
"14/08/2023","16.000","15.560","16.680","15.680","10.44M","2.83%"
"11/08/2023","15.560","14.360","15.760","14.280","16.64M","8.36%"
"10/08/2023","14.360","14.600","14.800","14.360","4.33M","-1.64%"
"09/08/2023","14.600","14.520","14.920","14.560","2.44M","0.55%"
"08/08/2023","14.520","14.800","15.000","14.480","2.16M","-1.89%"
"07/08/2023","14.800","15.000","15.360","14.040","3.93M","-1.33%"
"04/08/2023","15.000","15.200","15.200","14.480","7.32M","-1.32%"
"03/08/2023","15.200","14.440","15.600","15.200","2.84M","5.26%"
"02/08/2023","14.440","14.000","15.200","12.800","14.71M","3.14%"
"01/08/2023","14.000","14.120","14.200","13.800","4.28M","-0.85%"
"31/07/2023","14.120","14.400","14.400","14.000","7.45M","-3.29%"
"28/07/2023","14.600","15.000","15.280","13.840","8.12M","4.29%"
"27/07/2023","14.000","14.640","15.000","13.600","9.37M","-4.37%"
"26/07/2023","14.640","15.040","15.200","14.640","5.73M","-2.66%"
"25/07/2023","15.040","15.200","15.720","14.840","6.65M","-1.05%"
"24/07/2023","15.200","16.200","16.720","14.720","3.61M","-6.17%"
"21/07/2023","16.200","15.760","16.960","15.360","6.42M","2.79%"
"20/07/2023","15.760","15.600","15.960","15.240","2.86M","1.03%"
"19/07/2023","15.600","16.280","17.360","14.880","3.93M","-4.18%"
