"Date","Price","Open","High","Low","Vol.","Change %"
"30/07/2019","170.00","170.00","170.00","170.00","1.07M","0.00%"
"29/07/2019","170.00","170.00","170.00","170.00","581.77K","0.00%"
"26/07/2019","170.00","171.00","170.00","170.00","5.06M","-0.58%"
"25/07/2019","171.00","173.00","171.00","171.00","726.02K","-1.16%"
"24/07/2019","173.00","174.00","173.80","171.00","142.52K","-0.57%"
"23/07/2019","174.00","170.00","174.80","170.00","1.87M","2.35%"
"22/07/2019","170.00","170.00","175.00","168.10","2.17M","0.00%"
"19/07/2019","170.00","170.00","170.00","168.00","3.21M","0.00%"
"18/07/2019","170.00","170.00","170.00","170.00","1.76M","0.00%"
"17/07/2019","170.00","170.50","175.00","170.00","1.86M","-0.29%"
"16/07/2019","170.50","170.00","180.00","170.00","1.31M","0.29%"
"15/07/2019","170.00","173.00","170.00","169.90","1.12M","-1.73%"
"12/07/2019","173.00","173.00","173.00","173.00","294.29K","0.00%"
"11/07/2019","173.00","173.50","174.00","173.00","454.28K","-0.29%"
"10/07/2019","173.50","174.70","173.50","173.50","33.86K","-0.69%"
"09/07/2019","174.70","177.00","177.00","174.00","805.87K","-1.30%"
"08/07/2019","177.00","177.00","177.00","176.00","211.65K","0.00%"
"05/07/2019","177.00","177.00","177.00","177.00","13.90K","0.00%"
"04/07/2019","177.00","177.00","180.90","177.00","966.80K","0.00%"
"03/07/2019","177.00","179.90","179.80","179.50","134.14K","-1.61%"
"02/07/2019","179.90","181.00","181.00","179.90","375.96K","-0.61%"
"01/07/2019","181.00","184.00","181.00","181.00","239.70K","-1.63%"
"28/06/2019","184.00","185.00","184.70","184.00","127.75K","-0.54%"
"27/06/2019","185.00","184.00","185.00","179.00","3.60M","0.54%"
"26/06/2019","184.00","184.00","184.00","184.00","37.84K","0.00%"
"25/06/2019","184.00","184.00","184.00","184.00","60.90K","0.00%"
"24/06/2019","184.00","184.00","184.00","184.00","54.71K","0.00%"
"21/06/2019","184.00","182.00","184.00","182.00","1.91M","1.10%"
"20/06/2019","182.00","182.00","182.00","182.00","2.37M","0.00%"
"19/06/2019","182.00","182.10","182.20","182.00","3.83M","-0.05%"
"18/06/2019","182.10","182.40","182.40","182.10","518.00K","-0.16%"
"17/06/2019","182.40","184.00","182.40","182.40","302.16K","-0.87%"
"14/06/2019","184.00","183.00","184.00","184.00","62.17K","0.55%"
"13/06/2019","183.00","185.00","183.50","183.00","2.11M","-1.08%"
"11/06/2019","185.00","189.00","185.00","185.00","156.99K","-2.12%"
"10/06/2019","189.00","189.00","189.00","189.00","54.30K","0.00%"
"07/06/2019","189.00","189.00","189.00","189.00","19.64K","0.00%"
"06/06/2019","189.00","183.80","189.00","180.00","470.50K","-5.41%"
"03/06/2019","199.80","199.50","199.80","199.30","1.28M","0.15%"
"31/05/2019","199.50","199.80","199.50","199.00","1.24M","-0.15%"
"30/05/2019","199.80","201.60","200.00","199.00","530.02K","-0.89%"
"28/05/2019","201.60","192.00","201.60","194.00","6.59M","5.00%"
"27/05/2019","192.00","200.00","194.00","192.00","61.44K","-4.00%"
"24/05/2019","200.00","205.00","200.00","194.00","7.76M","-2.44%"
"23/05/2019","205.00","203.00","215.00","194.70","4.77M","0.99%"
"22/05/2019","203.00","185.00","203.00","185.00","8.74M","9.73%"
"21/05/2019","185.00","178.00","185.30","178.00","3.41M","3.93%"
"20/05/2019","178.00","176.00","178.00","177.00","252.05K","1.14%"
"17/05/2019","176.00","176.00","176.00","176.00","441.70K","0.00%"
"16/05/2019","176.00","178.00","178.20","176.00","234.07K","-1.12%"
"15/05/2019","178.00","178.50","178.00","178.00","340.73K","-0.28%"
"14/05/2019","178.50","178.50","178.50","178.50","247.05K","0.00%"
"13/05/2019","178.50","179.00","178.50","178.00","207.99K","-0.28%"
"10/05/2019","179.00","179.00","179.00","179.00","569.30K","0.00%"
"09/05/2019","179.00","179.50","179.50","179.00","213.46K","0.00%"
"08/05/2019","179.00","181.00","180.50","179.00","65.98K","-1.10%"
"07/05/2019","181.00","181.00","182.00","181.00","1.02M","0.00%"
"06/05/2019","181.00","180.00","181.00","181.00","75.99K","0.56%"
"03/05/2019","180.00","180.00","180.10","180.00","159.47K","0.00%"
"02/05/2019","180.00","180.00","180.80","179.00","1.04M","0.00%"
"30/04/2019","180.00","186.00","185.50","180.00","1.28M","-3.23%"
"29/04/2019","186.00","186.90","186.90","185.50","1.59M","-0.48%"
"26/04/2019","186.90","188.00","190.00","186.90","761.98K","-0.59%"
"25/04/2019","188.00","189.20","190.00","187.90","495.47K","-0.63%"
"24/04/2019","189.20","191.00","191.00","189.20","113.75K","-0.94%"
"23/04/2019","191.00","189.00","191.00","190.00","1.05M","1.06%"
"18/04/2019","189.00","188.00","190.00","189.00","291.56K","0.53%"
"17/04/2019","188.00","186.00","188.00","187.50","219.58K","1.08%"
"16/04/2019","186.00","186.00","186.00","186.00","1.74M","0.00%"
"15/04/2019","186.00","189.00","189.00","186.00","253.79K","-1.59%"
"12/04/2019","189.00","186.00","189.00","186.00","278.65K","1.61%"
"11/04/2019","186.00","186.00","186.00","186.00","333.08K","0.00%"
"10/04/2019","186.00","185.00","186.00","185.00","1.15M","0.54%"
"09/04/2019","185.00","185.50","185.80","185.00","168.23K","-0.27%"
"08/04/2019","185.50","189.00","189.00","175.00","670.86K","-1.85%"
"05/04/2019","189.00","189.00","189.00","189.00","169.21K","0.00%"
"04/04/2019","189.00","190.00","189.00","189.00","138.88K","-0.53%"
"03/04/2019","190.00","193.00","192.00","190.00","1.16M","-1.55%"
"02/04/2019","193.00","191.00","193.00","193.00","547.04K","1.05%"
"01/04/2019","191.00","191.00","191.00","191.00","1.61M","0.00%"
"29/03/2019","191.00","190.00","195.00","191.00","1.24M","0.53%"
"28/03/2019","190.00","190.00","190.00","190.00","20.42K","0.00%"
"27/03/2019","190.00","190.00","190.00","190.00","94.42K","0.00%"
"26/03/2019","190.00","188.50","190.00","188.50","2.00M","0.80%"
"25/03/2019","188.50","189.70","188.80","188.50","810.88K","-0.63%"
"22/03/2019","189.70","188.10","189.70","189.10","363.53K","0.85%"
"21/03/2019","188.10","189.40","189.50","188.10","623.11K","-0.69%"
"20/03/2019","189.40","189.40","189.40","189.40","56.40K","0.00%"
"19/03/2019","189.40","189.90","190.00","189.40","1.41M","-0.26%"
"18/03/2019","189.90","190.00","190.00","189.90","324.16K","-0.05%"
"15/03/2019","190.00","190.00","191.50","190.00","541.87K","0.00%"
"14/03/2019","190.00","192.00","192.00","190.00","149.23K","-1.04%"
"13/03/2019","192.00","194.00","192.00","192.00","89.01K","-1.03%"
"12/03/2019","194.00","195.00","195.00","193.70","2.24M","-0.51%"
"11/03/2019","195.00","195.00","195.00","195.00","1.44M","0.00%"
"08/03/2019","195.00","195.00","195.00","195.00","103.86K","0.00%"
"07/03/2019","195.00","196.50","196.00","195.00","201.31K","-0.76%"
"06/03/2019","196.50","196.00","196.50","195.00","876.24K","0.26%"
"05/03/2019","196.00","197.00","196.90","196.00","394.15K","-0.51%"
"04/03/2019","197.00","196.60","197.00","195.50","2.61M","0.20%"
"01/03/2019","196.60","195.30","196.60","195.00","1.68M","0.67%"
"28/02/2019","195.30","192.50","211.70","195.00","3.22M","1.45%"
"27/02/2019","192.50","192.50","192.50","192.00","1.04M","0.00%"
"26/02/2019","192.50","192.50","192.50","192.10","253.09K","0.00%"
"25/02/2019","192.50","192.40","192.50","190.50","762.72K","0.05%"
"22/02/2019","192.40","193.00","192.40","192.40","192.95K","-0.31%"
"21/02/2019","193.00","192.40","193.00","192.40","268.48K","0.31%"
"20/02/2019","192.40","192.50","192.40","190.00","2.11M","-0.05%"
"19/02/2019","192.50","193.30","192.90","190.00","5.00M","-0.41%"
"18/02/2019","193.30","194.00","193.30","187.10","61.66K","-0.36%"
"15/02/2019","194.00","191.00","197.00","191.90","2.34M","1.57%"
"14/02/2019","191.00","190.00","191.00","191.00","187.84K","0.53%"
"13/02/2019","190.00","189.30","192.00","189.20","3.44M","0.37%"
"12/02/2019","189.30","185.00","189.30","185.00","7.94M","2.32%"
"11/02/2019","185.00","185.50","189.50","185.00","4.02M","-0.27%"
"08/02/2019","185.50","190.00","190.00","185.10","5.64M","-2.37%"
"07/02/2019","190.00","188.00","190.00","185.00","3.10M","1.06%"
"06/02/2019","188.00","189.50","188.00","188.00","453.77K","-0.79%"
"05/02/2019","189.50","190.00","189.50","185.00","512.55K","-0.26%"
"04/02/2019","190.00","190.00","190.00","190.00","443.31K","0.00%"
"01/02/2019","190.00","190.00","191.00","189.90","560.26K","0.00%"
"31/01/2019","190.00","194.00","190.00","190.00","297.98K","-2.06%"
"30/01/2019","194.00","194.00","194.00","194.00","211.03K","0.00%"
"29/01/2019","194.00","194.00","194.00","194.00","100.54K","0.00%"
"28/01/2019","194.00","194.00","194.00","194.00","33.18K","0.00%"
"25/01/2019","194.00","192.00","194.00","192.00","421.67K","1.04%"
"24/01/2019","192.00","190.00","192.00","190.00","324.94K","1.05%"
"23/01/2019","190.00","190.00","190.00","189.00","181.06K","0.00%"
"22/01/2019","190.00","190.00","190.00","185.00","687.32K","0.00%"
"21/01/2019","190.00","194.90","192.00","190.00","43.86K","-2.51%"
"18/01/2019","194.90","190.00","194.90","190.00","478.78K","2.58%"
"17/01/2019","190.00","188.00","190.00","183.50","1.12M","1.06%"
"16/01/2019","188.00","180.00","188.00","178.00","1.08M","4.44%"
"15/01/2019","180.00","180.00","180.00","180.00","297.83K","0.00%"
"14/01/2019","180.00","177.00","180.00","174.00","237.78K","1.69%"
"11/01/2019","177.00","171.50","188.60","172.00","3.92M","3.21%"
"10/01/2019","171.50","170.00","171.50","171.50","97.99K","0.88%"
"09/01/2019","170.00","186.00","176.00","170.00","289.51K","-8.60%"
"08/01/2019","186.00","186.00","186.00","186.00","41.88K","0.00%"
"07/01/2019","186.00","186.00","186.00","186.00","124.18K","0.00%"
"04/01/2019","186.00","186.00","186.00","186.00","89.46K","0.00%"
"03/01/2019","186.00","186.00","186.00","186.00","18.32K","0.00%"
"02/01/2019","186.00","189.70","186.00","186.00","178.42K","-1.95%"
"31/12/2018","189.70","183.00","189.70","183.00","3.22M","3.66%"
"28/12/2018","183.00","187.70","187.00","183.00","1.07M","-2.50%"
"27/12/2018","187.70","194.00","187.90","187.20","379.27K","-3.25%"
"24/12/2018","194.00","187.00","195.00","186.00","8.70M","3.74%"
"21/12/2018","187.00","190.00","190.00","186.10","3.14M","-1.58%"
"20/12/2018","190.00","186.00","190.00","185.00","2.04M","2.15%"
"19/12/2018","186.00","189.00","189.00","186.00","2.70M","-1.59%"
"18/12/2018","189.00","185.00","189.00","185.50","1.31M","2.16%"
"17/12/2018","185.00","185.00","185.00","185.00","20.01K","0.00%"
"14/12/2018","185.00","186.00","185.00","185.00","180.20K","-0.54%"
"13/12/2018","186.00","186.00","186.10","186.00","980.44K","0.00%"
"12/12/2018","186.00","185.50","186.00","185.00","753.67K","0.27%"
"11/12/2018","185.50","184.20","185.50","184.50","1.55M","0.71%"
"10/12/2018","184.20","184.00","189.80","184.20","640.02K","0.11%"
"07/12/2018","184.00","185.00","185.00","184.00","320.39K","-0.54%"
"06/12/2018","185.00","190.00","185.10","185.00","529.73K","-2.63%"
"05/12/2018","190.00","185.00","190.00","185.00","1.46M","2.70%"
"04/12/2018","185.00","185.00","185.50","185.00","958.00K","0.00%"
"03/12/2018","185.00","186.90","186.90","185.00","3.64M","-1.02%"
"30/11/2018","186.90","185.00","189.90","185.00","2.27M","1.03%"
"29/11/2018","185.00","190.00","189.20","185.00","1.08M","-2.63%"
"28/11/2018","190.00","193.00","193.00","190.00","205.41K","-1.55%"
"27/11/2018","193.00","195.00","193.00","193.00","65.18K","-1.03%"
"26/11/2018","195.00","195.00","198.00","195.00","1.45M","0.00%"
"23/11/2018","195.00","200.00","195.00","195.00","99.07K","-2.50%"
"22/11/2018","200.00","200.00","200.00","200.00","33.22K","0.00%"
"21/11/2018","200.00","203.50","200.10","200.00","953.87K","-1.72%"
"19/11/2018","203.50","203.50","203.50","203.50","112.42K","0.00%"
"16/11/2018","203.50","205.00","203.50","202.20","367.08K","-0.73%"
"15/11/2018","205.00","205.00","205.00","205.00","146.97K","0.00%"
"14/11/2018","205.00","205.00","205.10","205.00","131.30K","0.00%"
"13/11/2018","205.00","205.00","210.00","205.00","471.53K","0.00%"
"12/11/2018","205.00","205.00","205.00","205.00","10.10K","0.00%"
"09/11/2018","205.00","205.00","205.00","205.00","2.09M","0.00%"
"08/11/2018","205.00","205.00","205.00","205.00","4.62K","0.00%"
"07/11/2018","205.00","205.00","205.00","205.00","1.63M","0.00%"
"06/11/2018","205.00","205.00","205.00","205.00","10.26K","0.00%"
"05/11/2018","205.00","204.90","205.00","204.90","340.72K","0.05%"
"02/11/2018","204.90","203.00","205.00","203.00","4.65M","0.94%"
"01/11/2018","203.00","209.00","203.00","203.00","66.59K","-2.87%"
"31/10/2018","209.00","216.00","210.00","209.00","119.31K","-3.24%"
"30/10/2018","216.00","212.50","221.50","210.00","7.36M","1.65%"
"29/10/2018","212.50","211.00","212.50","208.00","2.30M","0.71%"
"26/10/2018","211.00","200.50","211.00","210.00","96.73K","5.24%"
"25/10/2018","200.50","200.00","200.70","200.00","4.70M","0.25%"
"24/10/2018","200.00","214.50","210.00","200.00","307.24K","-6.76%"
"23/10/2018","214.50","210.00","216.00","214.50","532.73K","2.14%"
"22/10/2018","210.00","210.00","210.00","210.00","179.66K","0.00%"
"19/10/2018","210.00","206.00","210.00","206.00","425.82K","1.94%"
"18/10/2018","206.00","200.00","213.00","206.00","598.62K","3.00%"
"17/10/2018","200.00","205.00","201.00","200.00","2.29M","-2.44%"
"16/10/2018","205.00","200.00","205.00","200.00","1.99M","2.50%"
"15/10/2018","200.00","200.00","200.00","200.00","7.39K","0.00%"
"12/10/2018","200.00","200.00","200.00","200.00","289.52K","0.00%"
"11/10/2018","200.00","200.00","200.00","200.00","16.90K","0.00%"
"10/10/2018","200.00","200.00","200.10","200.00","2.50M","0.00%"
"09/10/2018","200.00","200.00","200.00","199.90","777.15K","0.00%"
"08/10/2018","200.00","200.00","200.00","200.00","123.13K","0.00%"
"05/10/2018","200.00","200.10","200.10","200.00","390.96K","-0.05%"
"04/10/2018","200.10","200.10","200.10","200.10","32.79K","0.00%"
"03/10/2018","200.10","205.00","200.30","200.00","925.37K","-2.39%"
"02/10/2018","205.00","205.00","205.00","205.00","274.15K","0.00%"
"28/09/2018","205.00","205.00","205.00","205.00","62.98K","0.00%"
"27/09/2018","205.00","205.00","205.00","205.00","73.78K","0.00%"
"26/09/2018","205.00","210.00","205.00","205.00","228.86K","-2.38%"
"25/09/2018","210.00","205.00","210.00","209.90","265.31K","2.44%"
"24/09/2018","205.00","205.00","205.00","205.00","168.95K","0.00%"
"21/09/2018","205.00","210.00","205.00","204.80","762.36K","-2.38%"
"20/09/2018","210.00","210.00","210.00","210.00","525.86K","0.00%"
"19/09/2018","210.00","210.00","210.00","210.00","11.96K","0.00%"
"18/09/2018","210.00","210.00","210.00","210.00","308.27K","0.00%"
"17/09/2018","210.00","210.00","210.00","210.00","10.93K","0.00%"
"14/09/2018","210.00","210.00","210.10","210.00","742.89K","0.00%"
"13/09/2018","210.00","210.00","210.10","210.00","4.93M","0.00%"
"12/09/2018","210.00","223.00","210.00","210.00","18.70M","-5.83%"
"11/09/2018","223.00","223.00","223.00","223.00","129.86K","0.00%"
"10/09/2018","223.00","223.00","223.00","223.00","124.33K","0.00%"
"07/09/2018","223.00","224.00","223.00","215.00","77.05K","-0.45%"
"06/09/2018","224.00","223.00","224.00","224.00","253.58K","0.45%"
"05/09/2018","223.00","230.00","223.00","217.00","91.08K","-3.04%"
"04/09/2018","230.00","230.00","230.00","230.00","88.82K","0.00%"
"03/09/2018","230.00","228.00","230.00","210.00","425.97K","0.88%"
"31/08/2018","228.00","228.00","228.00","210.00","25.29M","0.00%"
"30/08/2018","228.00","229.00","228.00","225.00","257.85K","-0.44%"
"29/08/2018","229.00","230.00","229.00","229.00","231.53K","-0.43%"
"28/08/2018","230.00","230.00","230.00","230.00","341.16K","0.00%"
"27/08/2018","230.00","235.00","230.00","217.20","191.18K","-2.13%"
"24/08/2018","235.00","240.00","240.00","235.00","102.03K","2.17%"
"23/08/2018","230.00","215.00","230.00","215.00","1.36M","6.98%"
"20/08/2018","215.00","220.00","229.50","220.00","1.15M","-2.27%"
"17/08/2018","220.00","206.00","224.00","219.90","347.70K","6.80%"
"16/08/2018","206.00","214.00","206.00","206.00","213.07K","-3.74%"
"15/08/2018","214.00","214.00","214.00","214.00","203.71K","0.00%"
"14/08/2018","214.00","214.00","214.00","213.00","401.37K","0.00%"
"13/08/2018","214.00","214.00","214.00","214.00","95.23K","0.00%"
"10/08/2018","214.00","228.00","214.00","214.00","47.20K","-6.14%"
"09/08/2018","228.00","228.00","228.00","228.00","1.33K","0.00%"
"08/08/2018","228.00","228.00","228.00","228.00","2.36K","0.00%"
"07/08/2018","228.00","228.00","228.00","228.00","1.23M","0.00%"
"06/08/2018","228.00","229.00","228.00","228.00","123.58K","-0.44%"
"03/08/2018","229.00","230.00","229.00","229.00","1.29M","-0.43%"
"02/08/2018","230.00","231.00","230.00","230.00","250.83K","-0.43%"
"01/08/2018","231.00","234.00","231.00","231.00","89.57K","-1.28%"
"31/07/2018","234.00","234.00","234.00","234.00","81.20K","0.00%"
"30/07/2018","234.00","234.00","234.00","234.00","43.49K","0.00%"
"27/07/2018","234.00","234.00","234.00","234.00","6.64K","0.00%"
"26/07/2018","234.00","235.00","234.00","234.00","1.81M","-0.43%"
"25/07/2018","235.00","235.00","235.00","235.00","1.57M","0.00%"
"24/07/2018","235.00","236.00","235.00","234.90","2.13M","-0.42%"
"23/07/2018","236.00","234.70","236.00","235.00","2.39M","0.55%"
"20/07/2018","234.70","230.00","234.70","228.80","393.79K","2.04%"
"19/07/2018","230.00","230.00","230.00","230.00","61.32K","0.00%"
"18/07/2018","230.00","230.00","230.00","230.00","66.60K","0.00%"
"17/07/2018","230.00","227.00","230.10","230.00","476.38K","1.32%"
"16/07/2018","227.00","227.00","227.00","227.00","35.16K","0.00%"
"13/07/2018","227.00","227.00","227.00","227.00","993.63K","0.00%"
"12/07/2018","227.00","225.00","227.00","227.00","515.73K","0.89%"
"11/07/2018","225.00","227.00","227.00","225.00","957.63K","-0.88%"
"10/07/2018","227.00","227.00","227.00","227.00","2.20M","0.00%"
"09/07/2018","227.00","225.00","227.00","227.00","809.68K","0.89%"
"06/07/2018","225.00","228.00","225.30","225.00","347.66K","-1.32%"
"05/07/2018","228.00","223.00","228.00","228.00","59.33K","2.24%"
"04/07/2018","223.00","222.80","223.00","223.00","104.79K","0.09%"
"03/07/2018","222.80","224.10","224.10","222.60","2.16M","-0.58%"
"02/07/2018","224.10","229.00","225.00","224.10","1.71M","-2.14%"
"29/06/2018","229.00","229.00","229.00","229.00","34.21K","1.78%"
"28/06/2018","225.00","229.00","229.00","225.00","2.62M","-2.17%"
"27/06/2018","230.00","228.00","230.00","230.00","6.98K","0.00%"
"26/06/2018","230.00","230.00","230.00","230.00","915.19K","0.00%"
"25/06/2018","230.00","230.00","230.00","225.00","5.07M","2.22%"
"22/06/2018","225.00","233.70","225.00","225.00","1.09M","-2.30%"
"21/06/2018","230.30","231.00","231.00","229.80","2.14M","-3.64%"
