"Date","Price","Open","High","Low","Vol.","Change %"
"19/03/2025","34.40","35.50","35.55","34.40","14.91M","-3.10%"
"18/03/2025","35.50","36.45","36.40","35.50","12.66M","-2.61%"
"17/03/2025","36.45","36.60","36.80","36.45","5.15M","-0.41%"
"14/03/2025","36.60","36.75","36.95","36.50","6.35M","-0.41%"
"13/03/2025","36.75","37.00","37.05","36.75","15.42M","-0.68%"
"12/03/2025","37.00","37.60","37.50","37.00","5.59M","-1.60%"
"11/03/2025","37.60","37.60","37.75","37.50","9.21M","0.00%"
"10/03/2025","37.60","37.95","38.00","37.60","13.10M","-0.92%"
"07/03/2025","37.95","37.00","38.00","37.00","23.99M","2.57%"
"06/03/2025","37.00","36.00","37.00","35.50","19.44M","2.78%"
"05/03/2025","36.00","35.70","36.00","34.00","29.05M","0.84%"
"04/03/2025","35.70","36.00","36.00","35.05","15.25M","-0.83%"
"03/03/2025","36.00","36.80","36.95","36.00","9.23M","-2.17%"
"28/02/2025","36.80","36.80","37.00","36.80","14.23M","0.00%"
"27/02/2025","36.80","36.90","36.90","36.80","7.43M","-0.27%"
"26/02/2025","36.90","36.60","37.05","36.80","8.53M","0.82%"
"25/02/2025","36.60","36.80","36.80","36.60","11.48M","-0.54%"
"24/02/2025","36.80","37.50","37.30","36.80","9.54M","-1.87%"
"21/02/2025","37.50","37.95","37.80","37.00","19.89M","-1.19%"
"20/02/2025","37.95","38.00","38.00","37.85","16.28M","-0.13%"
"19/02/2025","38.00","38.00","38.00","37.80","11.10M","0.00%"
"18/02/2025","38.00","38.35","38.35","37.30","31.38M","-0.91%"
"17/02/2025","38.35","38.70","39.00","38.30","17.87M","-0.90%"
"14/02/2025","38.70","39.00","38.95","38.50","17.43M","-0.77%"
"13/02/2025","39.00","39.30","39.15","38.80","14.92M","-0.76%"
"12/02/2025","39.30","38.80","39.35","38.55","14.64M","1.29%"
"11/02/2025","38.80","38.10","39.00","38.10","17.55M","1.84%"
"10/02/2025","38.10","39.15","39.40","38.00","26.52M","-2.68%"
"07/02/2025","39.15","38.00","39.40","38.00","10.14M","3.03%"
"06/02/2025","38.00","37.75","38.00","37.50","20.45M","0.66%"
